ip_address,country_name,abuse_score,attack_categories,total_reports,isp,is_tor,last_reported_at
80.94.92.55,Netherlands,100,"Port Scan, Hacking, Brute-Force, Bad Web Bot, SSH Abuse",19014,TECHOFF SRV LIMITED,False,2026-07-31
34.78.29.97,Belgium,100,"Port Scan, Hacking, Brute-Force, Web App Attack, SSH Abuse",22533,Google LLC,False,2026-07-31
193.124.20.231,Germany,100,"Port Scan, Hacking, Brute-Force, Bad Web Bot, Exploited Host, Web App Attack, SSH Abuse",3189,Infrawatch Limited,False,2026-07-31
165.245.255.222,Germany,100,"DDoS Attack, Phishing, Open Proxy, Web Spam, Email Spam, Port Scan, Hacking, Brute-Force, Bad Web Bot, Exploited Host, Web App Attack, SSH Abuse, IoT Targeted",198,"DigitalOcean, LLC",False,2026-07-31
91.92.40.24,Netherlands,100,"Port Scan, Hacking, Brute-Force, SSH Abuse",4695,TechTies Inc.,False,2026-07-31
160.119.76.24,Netherlands,100,"Port Scan, Hacking, SQL Injection, Brute-Force, Bad Web Bot, Exploited Host, Web App Attack, SSH Abuse, IoT Targeted",1235,HostUS Solutions LLC,False,2026-07-31
193.32.162.15,Netherlands,100,"DDoS Attack, Brute-Force, Web App Attack, SSH Abuse",3166,UNMANAGED LTD,False,2026-07-31
2a05:4140:3::37cd,Italy,100,"Web Spam, Port Scan, Hacking, SQL Injection, Brute-Force, Bad Web Bot, Exploited Host, Web App Attack",43,Lumanex,False,2026-07-31
5.252.83.162,United Kingdom,100,"Port Scan, Hacking, Brute-Force, Exploited Host, Web App Attack",483,Internet Utilities Europe and Asia Limited,False,2026-07-31
158.177.248.200,Germany,100,"Port Scan, Brute-Force, SSH Abuse",50,International Business Machines Corporation,False,2026-07-31
45.148.10.141,Netherlands,100,"Hacking, Brute-Force, Exploited Host, SSH Abuse",403627,TECHOFF SRV LIMITED,False,2026-07-31
185.12.59.118,Norway,100,"Web Spam, Port Scan, Hacking, Brute-Force, Bad Web Bot, Exploited Host, Web App Attack, SSH Abuse",20577,Blix Group AS,False,2026-07-31
47.245.139.22,Germany,100,"Fraud VoIP, Port Scan, Hacking, Brute-Force, Exploited Host, Web App Attack, SSH Abuse",969,Alibaba Cloud LLC,False,2026-07-31
213.209.159.238,Germany,100,"FTP Brute-Force, Port Scan, Hacking, Brute-Force, SSH Abuse",23419,Feo Prest SRL,False,2026-07-31
94.154.43.210,Netherlands,100,"DDoS Attack, Port Scan, Hacking, Brute-Force, Bad Web Bot, Exploited Host, Web App Attack, SSH Abuse, IoT Targeted",674,Storm Industries LLC,False,2026-07-31
45.148.10.151,Netherlands,100,"Port Scan, Hacking, Brute-Force, Exploited Host, SSH Abuse",400538,TECHOFF SRV LIMITED,False,2026-07-31
165.245.253.20,Germany,100,"DDoS Attack, Phishing, Email Spam, Port Scan, Hacking, Brute-Force, Bad Web Bot, Exploited Host, Web App Attack, SSH Abuse, IoT Targeted",248,"DigitalOcean, LLC",False,2026-07-31
213.209.159.235,Germany,100,"FTP Brute-Force, Port Scan, Hacking, Brute-Force, Web App Attack, SSH Abuse",25761,Feo Prest SRL,False,2026-07-31
77.110.107.153,Germany,100,"Port Scan, Hacking, Brute-Force, Web App Attack, SSH Abuse",861,GLOBAL CONNECTIVITY SOLUTIONS LLP,False,2026-07-31
91.92.47.66,Netherlands,100,"FTP Brute-Force, Port Scan, Hacking, Brute-Force, Bad Web Bot, Web App Attack, SSH Abuse",2873,TechTies Inc.,False,2026-07-31
141.95.162.162,France,100,"Port Scan, Hacking, Brute-Force, Web App Attack, SSH Abuse",3199,OVH SAS,False,2026-07-31
77.90.185.78,Germany,100,"Port Scan, Hacking, SQL Injection, Brute-Force, Bad Web Bot, Exploited Host, Web App Attack",8188,Limited Network LTD,False,2026-07-31
193.32.162.34,Netherlands,100,"FTP Brute-Force, Port Scan, Hacking, Brute-Force, Bad Web Bot, Web App Attack, SSH Abuse",4571,UNMANAGED LTD,False,2026-07-31
91.92.47.112,Netherlands,100,"DDoS Attack, Port Scan, Hacking, SQL Injection, Brute-Force, Bad Web Bot, Exploited Host, Web App Attack, SSH Abuse",437,TechTies Inc.,False,2026-07-31
196.196.150.124,Spain,100,"FTP Brute-Force, Port Scan, Brute-Force, Web App Attack, SSH Abuse",6386,SA,False,2026-07-31
193.124.20.251,Germany,100,"DDoS Attack, Ping of Death, Port Scan, Hacking, Brute-Force, Exploited Host, Web App Attack, IoT Targeted",6347,Infrawatch Limited,False,2026-07-31
165.245.243.213,Germany,100,"Port Scan, Hacking, Brute-Force, Bad Web Bot, Exploited Host, Web App Attack, SSH Abuse",32,"DigitalOcean, LLC",False,2026-07-31
45.148.10.183,Netherlands,100,"Brute-Force, Web App Attack, SSH Abuse",109356,TECHOFF SRV LIMITED,False,2026-07-31
171.25.158.74,Sweden,100,"Port Scan, Hacking, Brute-Force, Web App Attack, SSH Abuse",12856,Vaxjo NET C2IP,False,2026-07-31
193.32.162.42,Netherlands,100,"Port Scan, Brute-Force, SSH Abuse",3819,UNMANAGED LTD,False,2026-07-31
194.88.98.116,Germany,100,"Fraud VoIP, Port Scan, Hacking, Brute-Force, Exploited Host, Web App Attack",3547,Infrawatch Limited,False,2026-07-31
217.146.80.123,United Kingdom,100,"DNS Poisoning, DDoS Attack, Port Scan, Hacking, Brute-Force, Exploited Host, Web App Attack, SSH Abuse, IoT Targeted",2911,Infrawatch Limited,False,2026-07-31
91.148.190.12,Bulgaria,100,"Port Scan, Hacking, Brute-Force, Exploited Host",40,Tamatiya EOOD,False,2026-07-31
195.178.110.232,Andorra,100,"Hacking, Brute-Force, SSH Abuse",21509,TECHOFF SRV LIMITED,False,2026-07-31
185.180.109.243,Netherlands,100,"DDoS Attack, Port Scan, Hacking, Brute-Force, SSH Abuse, IoT Targeted",1394,PE Tyrin Viktor Mikhailovitch,False,2026-07-31
213.209.159.11,Germany,100,"FTP Brute-Force, Port Scan, Hacking, Brute-Force, SSH Abuse",22149,Feo Prest SRL,False,2026-07-31
46.8.245.94,Russia,100,"FTP Brute-Force, Port Scan, Hacking, Brute-Force, Bad Web Bot, Exploited Host, Web App Attack, SSH Abuse",2591,Saypudinov Ayatula,False,2026-07-31
45.148.10.147,Netherlands,100,"DDoS Attack, FTP Brute-Force, Ping of Death, Web Spam, Email Spam, Port Scan, Hacking, Brute-Force, Bad Web Bot, Web App Attack, SSH Abuse",402007,TECHOFF SRV LIMITED,False,2026-07-31
91.92.42.64,Netherlands,100,"Port Scan, Hacking, Brute-Force, Web App Attack, SSH Abuse, IoT Targeted",3784,TechTies Inc.,False,2026-07-31
95.47.246.223,Russia,100,"Port Scan, Hacking, Brute-Force, Exploited Host, SSH Abuse",4117,Tiger-Telecom Ltd.,False,2026-07-31
45.153.34.181,Netherlands,100,"FTP Brute-Force, Port Scan, Hacking, Brute-Force, SSH Abuse",6858,TechTies Inc.,False,2026-07-31
173.249.52.138,France,100,"Port Scan, Hacking, Brute-Force, Web App Attack, SSH Abuse",25823,Contabo GmbH,False,2026-07-31
195.178.110.26,Andorra,100,"Brute-Force, SSH Abuse",61138,TECHOFF SRV LIMITED,False,2026-07-31
206.189.19.232,United Kingdom,100,"Port Scan, Hacking, Brute-Force, Exploited Host, SSH Abuse",1566,"DigitalOcean, LLC",False,2026-07-31
84.1.34.96,Hungary,100,"Port Scan, Hacking, Brute-Force, Web App Attack, SSH Abuse",165,Magyar Telekom customers using static IP,False,2026-07-31
35.210.61.208,Belgium,100,"DDoS Attack, Port Scan, Hacking, Brute-Force, Web App Attack, SSH Abuse",29982,Google LLC,False,2026-07-31
161.35.205.74,Germany,100,"Port Scan, Hacking, Brute-Force, SSH Abuse",2978,"DigitalOcean, LLC",False,2026-07-31
45.153.34.167,Netherlands,100,"DDoS Attack, Ping of Death, Web Spam, Email Spam, Port Scan, Hacking, Brute-Force, Bad Web Bot, SSH Abuse",3893,TechTies Inc.,False,2026-07-31
80.94.92.234,Netherlands,100,"Port Scan, Hacking, Brute-Force, Exploited Host, SSH Abuse",17814,TECHOFF SRV LIMITED,False,2026-07-31
2.57.121.112,United Kingdom,100,"FTP Brute-Force, Port Scan, Hacking, Brute-Force, Bad Web Bot, SSH Abuse",794816,UNMANAGED LTD,False,2026-07-31
196.196.150.99,Spain,100,"Hacking, Brute-Force, Web App Attack, SSH Abuse",4335,SA,False,2026-07-31
77.239.124.242,Netherlands,100,"Port Scan, Hacking, Brute-Force, Bad Web Bot, Exploited Host, SSH Abuse, IoT Targeted",1156,RocketCloud,False,2026-07-31
195.96.139.6,United Kingdom,100,"DDoS Attack, Email Spam, VPN IP, Port Scan, Hacking, Brute-Force, Bad Web Bot, Exploited Host, Web App Attack, SSH Abuse, IoT Targeted",272,Driftnet Ltd,False,2026-07-31
195.178.110.137,Andorra,100,"Port Scan, Hacking, Brute-Force, Exploited Host, Web App Attack, SSH Abuse",31294,TECHOFF SRV LIMITED,False,2026-07-31
87.106.44.172,United Kingdom,100,"Brute-Force, SSH Abuse",9827,IONOS SE,False,2026-07-31
193.32.209.238,United Kingdom,100,"Port Scan, Hacking, Brute-Force, Exploited Host, SSH Abuse, IoT Targeted",3641,Infrawatch Limited,False,2026-07-31
79.124.59.78,Bulgaria,100,"Port Scan, Hacking, Brute-Force, Exploited Host, Web App Attack",60975,Tamatiya EOOD,False,2026-07-31
80.94.92.152,Netherlands,100,"Email Spam, Port Scan, Hacking, Brute-Force, Web App Attack",5303,TECHOFF SRV LIMITED,False,2026-07-31
158.94.209.239,Netherlands,100,"DDoS Attack, Email Spam, Port Scan, Hacking, Spoofing, Brute-Force, Web App Attack, SSH Abuse",755,OMEGATECH,False,2026-07-31
51.75.161.33,United Kingdom,100,"Port Scan, Hacking, Brute-Force, Bad Web Bot, Web App Attack, SSH Abuse",1882,OVH Ltd,False,2026-07-31
78.128.112.30,Bulgaria,100,"Port Scan, Hacking, Brute-Force, Exploited Host, Web App Attack",13272,Lir.bg EOOD,False,2026-07-31
165.245.211.146,Germany,100,"DDoS Attack, Web Spam, Email Spam, Port Scan, Hacking, Brute-Force, Bad Web Bot, Web App Attack, SSH Abuse",218,"DigitalOcean, LLC",False,2026-07-31
5.226.140.75,United Kingdom,100,"Port Scan, Hacking, Brute-Force, Bad Web Bot, Web App Attack, SSH Abuse",1734,Infrawatch Limited,False,2026-07-31
103.14.32.224,Germany,100,"Port Scan, Hacking, Brute-Force, Exploited Host, Web App Attack",5299,UCloud Hong Kong,False,2026-07-31
217.146.80.118,United Kingdom,100,"Port Scan, Hacking, Brute-Force, Bad Web Bot, Exploited Host, Web App Attack",2526,Infrawatch Limited,False,2026-07-31
217.146.80.110,United Kingdom,100,"Port Scan, Hacking, Brute-Force, Bad Web Bot, Exploited Host, Web App Attack",3171,Infrawatch Limited,False,2026-07-31
213.209.159.236,Germany,100,"FTP Brute-Force, Port Scan, Hacking, Brute-Force, SSH Abuse",22989,Feo Prest SRL,False,2026-07-31
165.245.208.163,Germany,100,"Email Spam, Port Scan, Hacking, Spoofing, Brute-Force, Bad Web Bot, Exploited Host, Web App Attack, SSH Abuse",182,"DigitalOcean, LLC",False,2026-07-31
20.100.203.84,Norway,100,"DNS Compromise, DNS Poisoning, DDoS Attack, FTP Brute-Force, Ping of Death, Web Spam, Email Spam, Blog Spam, Port Scan, Hacking, Brute-Force, Bad Web Bot, Exploited Host, Web App Attack, SSH Abuse",1339,Microsoft Corporation,False,2026-07-31
185.242.3.226,Germany,100,"Port Scan, Hacking, Brute-Force, Exploited Host",19960,Felcloud,False,2026-07-31
80.82.77.139,Netherlands,100,"FTP Brute-Force, Fraud VoIP, Web Spam, Email Spam, Port Scan, Hacking, Brute-Force, Bad Web Bot, Exploited Host, Web App Attack, IoT Targeted",34216,FiberXpress BV,False,2026-07-31
8.211.32.231,Germany,100,"Port Scan, Hacking, Brute-Force, Bad Web Bot, Exploited Host, Web App Attack, SSH Abuse",959,Alibaba Cloud (Singapore) Private Limited,False,2026-07-31
194.165.16.161,Lithuania,100,"Email Spam, Port Scan, Hacking, Brute-Force, Exploited Host, Web App Attack, SSH Abuse",12014,Flyservers S.A.,False,2026-07-31
5.226.140.5,United Kingdom,100,"Port Scan, Hacking, Brute-Force, Exploited Host, Web App Attack",1456,Infrawatch Limited,False,2026-07-31
20.240.137.17,Sweden,100,"DDoS Attack, Web Spam, Email Spam, Port Scan, Hacking, Spoofing, Brute-Force, Bad Web Bot, Exploited Host, Web App Attack, SSH Abuse",674,Microsoft Corporation,False,2026-07-31
45.135.141.23,United Kingdom,100,"Brute-Force, Web App Attack, SSH Abuse",2185,OFFICE LIMITED,False,2026-07-31
81.19.219.201,United Kingdom,100,"Port Scan, Hacking, Brute-Force, Web App Attack",1906,Infrawatch Limited,False,2026-07-31
188.240.59.6,United Kingdom,100,"Email Spam, Port Scan, Hacking, Brute-Force, Bad Web Bot, Exploited Host, Web App Attack, SSH Abuse",1980,Infrawatch Limited,False,2026-07-31
81.19.219.206,United Kingdom,100,"DDoS Attack, Email Spam, Port Scan, Hacking, Spoofing, Brute-Force, Bad Web Bot, Web App Attack, SSH Abuse",1562,Infrawatch Limited,False,2026-07-31
185.209.198.210,Sweden,100,"DDoS Attack, Ping of Death, Web Spam, Email Spam, Port Scan, Hacking, Brute-Force, Bad Web Bot, Exploited Host, Web App Attack, SSH Abuse",112,"31173 Services AB infrastructure in Stockholm, SE.",False,2026-07-31
94.154.43.183,Netherlands,100,"DDoS Attack, Web Spam, Port Scan, Hacking, SQL Injection, Brute-Force, Bad Web Bot, Exploited Host, Web App Attack, SSH Abuse",1611,Storm Industries LLC,False,2026-07-31
172.213.216.126,Italy,100,"DNS Compromise, DNS Poisoning, DDoS Attack, Ping of Death, Web Spam, Email Spam, Blog Spam, Port Scan, Hacking, SQL Injection, Brute-Force, Bad Web Bot, Exploited Host, Web App Attack, SSH Abuse",607,Microsoft Limited,False,2026-07-31
57.128.223.80,Poland,100,"DDoS Attack, FTP Brute-Force, Port Scan, Hacking, SQL Injection, Spoofing, Brute-Force, Bad Web Bot, Web App Attack, SSH Abuse, IoT Targeted",4458,OVH Sp. z o. o.,False,2026-07-31
209.99.189.177,Switzerland,100,"Port Scan, Hacking, Brute-Force, Bad Web Bot, Web App Attack, SSH Abuse, IoT Targeted",7332,SKN Subnet & Telecom Ltd,False,2026-07-31
194.88.98.94,Germany,100,"Port Scan, Hacking, Brute-Force, Exploited Host, Web App Attack, SSH Abuse",7623,Infrawatch Limited,False,2026-07-31
195.154.59.122,France,100,"FTP Brute-Force, Web Spam, Port Scan, Hacking, Brute-Force, Exploited Host, Web App Attack, SSH Abuse",1361,Scaleway,False,2026-07-31
193.163.125.213,United Kingdom,100,"Open Proxy, Port Scan, Hacking, Brute-Force, Web App Attack",10585,Driftnet Ltd,False,2026-07-31
193.163.125.209,United Kingdom,100,"Port Scan, Hacking, Brute-Force, Web App Attack, SSH Abuse",10480,Driftnet Ltd,False,2026-07-31
188.240.59.14,United Kingdom,100,"Email Spam, Port Scan, Hacking, Brute-Force, Exploited Host",2049,Infrawatch Limited,False,2026-07-31
151.243.11.230,Germany,100,"DDoS Attack, Phishing, Web Spam, Blog Spam, Port Scan, Hacking, SQL Injection, Brute-Force, Bad Web Bot, Exploited Host, Web App Attack, SSH Abuse, IoT Targeted",2012,LLC VASH KREDIT BANK,False,2026-07-31
196.196.150.100,Spain,100,"Web Spam, Port Scan, Hacking, Brute-Force, Bad Web Bot, Exploited Host, Web App Attack, SSH Abuse",4032,SA,False,2026-07-31
77.90.185.16,Germany,100,"DDoS Attack, Web Spam, Port Scan, Hacking, Brute-Force, Exploited Host, Web App Attack, SSH Abuse",17006,Limited Network LTD,False,2026-07-31
171.25.158.82,Sweden,100,"Port Scan, Hacking, Brute-Force, Web App Attack, SSH Abuse, IoT Targeted",9314,Vaxjo NET C2IP,False,2026-07-31
169.58.45.117,France,100,"Port Scan, Hacking, Brute-Force, Exploited Host, Web App Attack, SSH Abuse",94,Contabo GmbH,False,2026-07-31
45.74.3.86,United Kingdom,100,"Fraud Orders, DDoS Attack, Phishing, Open Proxy, Web Spam, Email Spam, Blog Spam, VPN IP, Port Scan, Hacking, Brute-Force, Bad Web Bot, Exploited Host, Web App Attack",256,Virtualine Technologies,False,2026-07-31
94.132.0.254,Portugal,100,"FTP Brute-Force, Port Scan, Hacking, Brute-Force, SSH Abuse",943,NOS COMUNICACOES S.A.,False,2026-07-31
45.82.76.107,United Kingdom,100,"Port Scan, Hacking, Brute-Force, Exploited Host, Web App Attack",6181,Detai Prosperous Technologies Limited,False,2026-07-31
91.92.40.18,Netherlands,100,"DDoS Attack, FTP Brute-Force, Email Spam, Port Scan, Hacking, Brute-Force, Exploited Host, Web App Attack, SSH Abuse, IoT Targeted",1409,TechTies Inc.,False,2026-07-31
91.148.190.15,Bulgaria,100,"Port Scan, Hacking, Brute-Force, Exploited Host, SSH Abuse",34,Tamatiya EOOD,False,2026-07-31
5.253.38.188,United Kingdom,100,"Port Scan, Hacking, Brute-Force, Web App Attack, SSH Abuse",1772,Internet Utilities Europe and Asia Limited,False,2026-07-31
151.243.11.233,Germany,100,"DDoS Attack, Port Scan, Hacking, Brute-Force, Bad Web Bot, Exploited Host, Web App Attack, IoT Targeted",2126,LLC VASH KREDIT BANK,False,2026-07-31
51.195.223.189,United Kingdom,100,"Port Scan, Brute-Force, SSH Abuse",31,OVH Ltd,False,2026-07-31
89.37.172.145,United Kingdom,100,"Port Scan, Hacking, Brute-Force, Exploited Host, Web App Attack, SSH Abuse",1961,Infrawatch Limited,False,2026-07-31
165.232.122.132,Germany,100,"DDoS Attack, Email Spam, Port Scan, Hacking, Brute-Force, Bad Web Bot, Exploited Host, Web App Attack, SSH Abuse",195,"DigitalOcean, LLC",False,2026-07-31
158.158.76.249,Spain,100,"DDoS Attack, Web Spam, Email Spam, Port Scan, Hacking, Brute-Force, Bad Web Bot, Web App Attack, SSH Abuse",27,Microsoft Singapore Pte. Ltd.,False,2026-07-31
20.203.142.71,Switzerland,100,"DDoS Attack, Web Spam, Port Scan, Hacking, Spoofing, Brute-Force, Bad Web Bot, Exploited Host, Web App Attack, SSH Abuse",1510,Microsoft Corporation,False,2026-07-31
69.5.169.146,Germany,100,"DDoS Attack, Email Spam, Port Scan, Hacking, SQL Injection, Brute-Force, Bad Web Bot, Exploited Host, Web App Attack, SSH Abuse, IoT Targeted",3182,Infrawatch Limited,False,2026-07-31
141.94.94.95,France,100,"DDoS Attack, Open Proxy, VPN IP, Port Scan, Hacking, Brute-Force, Bad Web Bot, Exploited Host, Web App Attack, SSH Abuse",114,OVH SAS,False,2026-07-31
85.11.167.228,Netherlands,100,"FTP Brute-Force, Port Scan, Hacking, Brute-Force, Web App Attack, SSH Abuse",3109,TechTies Inc.,False,2026-07-31
5.226.140.23,United Kingdom,100,"DDoS Attack, Email Spam, Port Scan, Hacking, Brute-Force, Bad Web Bot, Exploited Host, Web App Attack, SSH Abuse, IoT Targeted",1406,Infrawatch Limited,False,2026-07-31
47.254.171.212,Germany,100,"FTP Brute-Force, Port Scan, Hacking, Brute-Force, Bad Web Bot, Web App Attack",918,Alibaba Cloud - DE,False,2026-07-31
154.16.44.100,United Kingdom,100,"Port Scan, Hacking, Brute-Force, Exploited Host, Web App Attack, SSH Abuse",54,Digital Energy Technologies Limited,False,2026-07-31
154.16.44.138,United Kingdom,100,"DDoS Attack, Ping of Death, Port Scan, Hacking, Brute-Force, Bad Web Bot, Exploited Host, Web App Attack, SSH Abuse",429,Digital Energy Technologies Limited,False,2026-07-31
51.89.166.236,United Kingdom,100,"Port Scan, Hacking, Brute-Force, Web App Attack, SSH Abuse",12924,OVH Ltd,False,2026-07-31
131.123.42.114,Moldova,100,"Fraud VoIP, Port Scan, Hacking, Brute-Force, Bad Web Bot, Exploited Host, Web App Attack, SSH Abuse",214,AlexHost BG NET,False,2026-07-31
154.16.44.68,United Kingdom,100,"DNS Poisoning, Port Scan, Hacking, SQL Injection, Brute-Force, Bad Web Bot, Exploited Host, Web App Attack, SSH Abuse",162,Digital Energy Technologies Limited,False,2026-07-31
193.176.29.5,United Kingdom,100,"Port Scan, Hacking, Brute-Force, Bad Web Bot, Web App Attack",2610,Infrawatch Limited,False,2026-07-31
193.163.125.35,United Kingdom,100,"Port Scan, Hacking, Brute-Force, Bad Web Bot, Web App Attack, SSH Abuse",10935,Driftnet Ltd,False,2026-07-31
45.153.34.186,Netherlands,100,"DDoS Attack, Ping of Death, Web Spam, Email Spam, Port Scan, Hacking, Brute-Force, Bad Web Bot, Web App Attack, SSH Abuse",6917,TechTies Inc.,False,2026-07-31
194.180.48.211,Germany,100,"Port Scan, Hacking",1859,Neterra Ltd.,False,2026-07-31
195.93.244.97,Netherlands,100,"DDoS Attack, Ping of Death, Web Spam, Email Spam, Port Scan, Hacking, Brute-Force, Bad Web Bot, Exploited Host, Web App Attack, SSH Abuse, IoT Targeted",1744,FS LLC,False,2026-07-31
79.137.76.231,France,100,"Port Scan, Hacking, Brute-Force, SSH Abuse",4626,OVH SAS,False,2026-07-31
192.250.229.92,Germany,100,"Web Spam, Blog Spam, Port Scan, Hacking, Brute-Force, Bad Web Bot, Exploited Host, Web App Attack",100,WHG Hosting Services Ltd,False,2026-07-31
195.96.139.12,United Kingdom,100,"DDoS Attack, Phishing, Email Spam, VPN IP, Port Scan, Hacking, Brute-Force, Bad Web Bot, Exploited Host, Web App Attack, SSH Abuse, IoT Targeted",272,Driftnet Ltd,False,2026-07-31
51.75.23.111,France,100,"DDoS Attack, Hacking, Brute-Force, Bad Web Bot, Exploited Host, Web App Attack, SSH Abuse",519,OVH SAS,False,2026-07-31
194.180.48.31,Germany,100,"Port Scan, Hacking, Brute-Force, Exploited Host, Web App Attack, SSH Abuse",4563,Neterra Ltd.,False,2026-07-31
85.217.140.23,France,100,"Port Scan, Hacking, Brute-Force, Bad Web Bot, Exploited Host, Web App Attack, SSH Abuse",13063,NL MODAT,False,2026-07-31
79.137.64.41,France,100,"DDoS Attack, Web Spam, Port Scan, Hacking, Brute-Force, Bad Web Bot, Exploited Host, Web App Attack, SSH Abuse",334,OVH SAS,False,2026-07-31
195.140.214.22,United Kingdom,100,"Email Spam, Port Scan, Hacking, Brute-Force, Exploited Host, Web App Attack",5531,Infrawatch Limited,False,2026-07-31
185.242.3.195,Germany,100,"Brute-Force, Exploited Host, SSH Abuse",29106,Felcloud,False,2026-07-31
193.163.125.44,United Kingdom,100,"Port Scan, Hacking, Brute-Force, Bad Web Bot, Exploited Host, Web App Attack",11275,Driftnet Ltd,False,2026-07-31
45.148.10.240,Netherlands,100,"Port Scan, Brute-Force, SSH Abuse",178939,TECHOFF SRV LIMITED,False,2026-07-31
45.133.173.67,United Kingdom,100,"Port Scan, Hacking, Brute-Force, Exploited Host",710,Internet Utilities Europe and Asia Limited,False,2026-07-31
217.154.38.181,United Kingdom,100,"Port Scan, Hacking, Brute-Force, Web App Attack, SSH Abuse",21034,IONOS SE,False,2026-07-31
154.16.44.77,United Kingdom,100,"Port Scan, Hacking, Brute-Force, Exploited Host, Web App Attack, SSH Abuse",921,Digital Energy Technologies Limited,False,2026-07-31
85.217.140.12,France,100,"Port Scan, Hacking, Brute-Force, Web App Attack",18112,NL MODAT,False,2026-07-31
89.21.67.175,Netherlands,100,"Email Spam, Port Scan, Hacking, Brute-Force, Exploited Host, Web App Attack",2729,Infrawatch Limited,False,2026-07-31
5.252.83.126,United Kingdom,100,"Port Scan, Hacking, Brute-Force, Exploited Host, Web App Attack",285,Internet Utilities Europe and Asia Limited,False,2026-07-31
2.57.17.175,United Kingdom,100,"Port Scan, Hacking, Brute-Force, Exploited Host",204,Internet Utilities Europe and Asia Limited,False,2026-07-31
45.198.224.26,Sweden,100,"Port Scan, Hacking, Brute-Force, Bad Web Bot, Exploited Host, Web App Attack, SSH Abuse",1981,VPSVAULT.HOST LTD,False,2026-07-31
79.136.18.51,Sweden,100,"Email Spam, Port Scan, Hacking, Spoofing, Brute-Force, Exploited Host, Web App Attack, SSH Abuse",291,Bahnhof AB,False,2026-07-31
2.57.17.129,United Kingdom,100,"Port Scan, Hacking, Brute-Force",212,Internet Utilities Europe and Asia Limited,False,2026-07-31
88.218.121.220,Netherlands,100,"Port Scan, Hacking, Brute-Force, Web App Attack",614,CLODO CLOUD SERVICE CO. L.L.C,False,2026-07-31
69.5.169.180,Germany,100,"DDoS Attack, Port Scan, Hacking, Brute-Force, Bad Web Bot, Exploited Host, Web App Attack, SSH Abuse, IoT Targeted",3916,Infrawatch Limited,False,2026-07-31
195.222.57.190,Bosnia,100,"DDoS Attack, Email Spam, Port Scan, Hacking, Spoofing, Brute-Force, Exploited Host, Web App Attack, SSH Abuse, IoT Targeted",4257,Public Enterprise BH Telecom DD,False,2026-07-31
2.57.17.14,United Kingdom,100,"Port Scan, Hacking, Brute-Force, Exploited Host",247,Internet Utilities Europe and Asia Limited,False,2026-07-31
64.89.161.184,Luxembourg,100,"Email Spam, Port Scan, Hacking, Brute-Force, Bad Web Bot, Exploited Host, SSH Abuse",693,Ghosty Networks LLC,False,2026-07-31
69.5.169.103,Germany,100,"Port Scan, Hacking, Brute-Force, Bad Web Bot, Exploited Host, Web App Attack, SSH Abuse",3526,Infrawatch Limited,False,2026-07-31
69.5.169.104,Germany,100,"DDoS Attack, Ping of Death, Port Scan, Hacking, Brute-Force, Exploited Host, SSH Abuse",3543,Infrawatch Limited,False,2026-07-31
5.252.226.244,Germany,100,"Port Scan, Hacking, Brute-Force, Web App Attack, SSH Abuse",114,netcup GmbH,False,2026-07-31
